Detail_url,Name,Rating,Genre,Date,Runtime,Director
https://www.themoviedb.org/movie/338953,Fantastic Beasts: The Secrets of Dumbledore,69.0,"Fantasy, Adventure, Action",15/04/2022 (US),2h 22m,David Yates
https://www.themoviedb.org/movie/335787,Uncharted,71.0,"Action, Adventure",18/02/2022 (US),1h 56m,Art Marcum
https://www.themoviedb.org/movie/580489,Venom: Let There Be Carnage,69.0,"Science Fiction, Action, Adventure",01/10/2021 (US),1h 37m,David Michelinie
https://www.themoviedb.org/movie/762968,Do Revenge,67.0,Comedy,16/09/2022 (US),1h 58m,Celeste Ballard
https://www.themoviedb.org/movie/864370,Incantation,69.0,Horror,18/03/2022 (TW),1h 51m,Zhang Zhe Wai
https://www.themoviedb.org/movie/725201,The Gray Man,70.0,"Action, Thriller",13/07/2022 (IT),2h 7m,Anthony Russo
https://www.themoviedb.org/movie/459151,The Boss Baby: Family Business,75.0,"Animation, Comedy, Adventure, Family",02/07/2021 (US),1h 47m,Tom McGrath
https://www.themoviedb.org/movie/526896,Morbius,64.0,"Action, Science Fiction, Fantasy",01/04/2022 (IN),1h 45m,Matt Sazama
https://www.themoviedb.org/movie/759175,The Princess,70.0,"Fantasy, Action",01/07/2022 (US),1h 34m,Ben Lustig
https://www.themoviedb.org/movie/769636,Code Name: Emperor,59.0,"Drama, Thriller",18/03/2022 (ES),1h 45m,Jorge Guerricaechevarría
https://www.themoviedb.org/movie/21208,Orphan,70.0,"Horror, Thriller, Mystery",18/09/2009 (IN),2h 3m,David Leslie Johnson-McGoldrick
https://www.themoviedb.org/movie/1016446,The Perfumier,48.0,"Drama, Crime, Mystery, Thriller",21/09/2022 (DE),1h 36m,Patrick Süskind
https://www.themoviedb.org/movie/354912,Coco,82.0,"Family, Animation, Fantasy, Music, Comedy, Adventure",24/11/2017 (IN),1h 45m,Adrian Molina
https://www.themoviedb.org/movie/406759,Moonfall,64.0,"Science Fiction, Adventure, Action",04/02/2022 (US),2h 10m,Spenser Cohen
https://www.themoviedb.org/movie/877957,Drifting Home,76.0,"Animation, Drama, Mystery, Fantasy, Family",16/09/2022 (JP),2h,Hayashi Mori
https://www.themoviedb.org/movie/301502,Blonde,66.0,Drama,16/09/2022 (US),2h 47m,Joyce Carol Oates
https://www.themoviedb.org/movie/610253,Halloween Kills,67.0,"Horror, Thriller",15/10/2021 (GB),1h 45m,Debra Hill
https://www.themoviedb.org/movie/560057,The Sea Beast,76.0,"Animation, Adventure, Family, Fantasy",08/07/2022 (PT),1h 59m,Nell Benjamin
https://www.themoviedb.org/movie/299536,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",27/04/2018 (IN),2h 29m,Anthony Russo
https://www.themoviedb.org/movie/613093,Valley of the Dead,63.0,"Comedy, Horror, War",11/07/2022 (US),1h 41m,Javier Ruiz Caldera
https://www.themoviedb.org/movie/852046,Athena,66.0,"Drama, Action, Thriller",09/09/2022 (US),1h 37m,Ladj Ly
https://www.themoviedb.org/movie/629542,The Bad Guys,78.0,"Animation, Comedy, Family, Crime",22/04/2022 (US),1h 40m,Etan Cohen
https://www.themoviedb.org/movie/814800,Goodnight Mommy,63.0,"Horror, Drama, Thriller",16/09/2022 (US),1h 31m,Kyle Warren
https://www.themoviedb.org/movie/646385,Scream,67.0,"Horror, Mystery, Thriller",14/01/2022 (US),1h 54m,Matt Bettinelli-Olpin
https://www.themoviedb.org/movie/774825,The Ice Age Adventures of Buck Wild,68.0,"Animation, Comedy, Adventure, Family",28/01/2022 (US),1h 22m,John C. Donkin
https://www.themoviedb.org/movie/460465,Mortal Kombat,72.0,"Action, Fantasy, Adventure",23/04/2021 (IN),1h 50m,Simon McQuoid
https://www.themoviedb.org/movie/423108,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",04/06/2021 (US),1h 51m,Chad Hayes
https://www.themoviedb.org/movie/843241,The Seven Deadly Sins: Cursed by Light,78.0,"Animation, Fantasy",02/07/2021 (JP),1h 19m,Rintarou Ikeda
https://www.themoviedb.org/movie/337404,Cruella,81.0,"Comedy, Crime",28/05/2021 (US),2h 14m,Dodie Smith
https://www.themoviedb.org/movie/1005031,A Trip to Infinity,63.0,Documentary,26/09/2022 (IN),1h 19m,Drew Takahashi
https://www.themoviedb.org/movie/632727,Texas Chainsaw Massacre,52.0,"Horror, Thriller",18/02/2022 (US),1h 23m,Kim Henkel
https://www.themoviedb.org/movie/293660,Deadpool,76.0,"Action, Adventure, Comedy",12/02/2016 (IN),1h 48m,Rhett Reese
https://www.themoviedb.org/movie/3933,Corpse Bride,75.0,"Romance, Fantasy, Animation",23/09/2005 (US),1h 17m,Carlos Grangel
https://www.themoviedb.org/movie/833425,No Exit,70.0,"Horror, Thriller, Mystery",25/02/2022 (US),1h 36m,Taylor Adams
https://www.themoviedb.org/movie/324786,Hacksaw Ridge,82.0,"Drama, History, War",16/12/2016 (IN),2h 19m,Robert Schenkkan
https://www.themoviedb.org/movie/585245,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",10/11/2021 (CA),1h 37m,Walt Becker
https://www.themoviedb.org/movie/975714,Collision,60.0,"Thriller, Crime, Drama",16/06/2022 (DK),1h 39m,Sean Cameron Michael
https://www.themoviedb.org/movie/823625,Blacklight,63.0,"Action, Thriller",11/02/2022 (US),1h 44m,Nick May
https://www.themoviedb.org/movie/764835,The Desperate Hour,62.0,Thriller,12/09/2021 (CA),1h 24m,Chris Sparling
https://www.themoviedb.org/movie/566525,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy",03/09/2021 (IN),2h 12m,Steve Englehart
